date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-07-04,12078.58,12216.71,12030.03,12134.21,2876691.0,4086547268.0,1256197800.0,0.0022899984381440567
2025-07-07,12134.72,12145.13,12030.03,12035.92,2385467.0,3370562659.0,1256197800.0,0.0018989581099409663
2025-07-08,12036.01,12115.27,12035.92,12082.08,1867370.0,2643302691.0,1256197800.0,0.0014865254500525315
2025-07-09,12072.61,12200.33,12065.53,12105.71,2774532.0,3950810723.0,1256197800.0,0.002208674461935851
2025-07-10,12106.48,12253.31,12033.36,12170.72,3872503.0,5503329754.0,1256197800.0,0.0030827175465519842
2025-07-11,12142.23,12439.48,12142.23,12174.99,5724335.0,8239010390.0,1256197800.0,0.004556873925427986
2025-07-14,12200.58,12243.07,12128.92,12145.98,2778094.0,3961736006.0,1256197800.0,0.002211510002644488
2025-07-15,12123.63,12140.26,12015.61,12038.48,3540578.0,5005150165.0,1256197800.0,0.0028184876617360737
2025-07-16,12030.03,12093.85,12029.52,12038.74,2128605.0,3006882579.0,1256197800.0,0.0016944823498337602
2025-07-17,12063.9,12140.95,12054.52,12084.12,2310554.0,3273100406.0,1256197800.0,0.0018393233931790042
2025-07-18,12115.27,12267.22,12084.38,12260.31,4182341.0,5984949774.0,1256197800.0,0.0033293650092366027
2025-07-21,12260.22,12343.92,12243.24,12311.5,2620331.0,3779891829.0,1256197800.0,0.0020859222966319478
2025-07-22,12320.03,12512.85,12291.71,12499.03,4211898.0,6127636851.0,1256197800.0,0.0033528939471156533
2025-07-23,12533.33,12755.16,12532.9,12588.79,4504484.0,6676301462.0,1256197800.0,0.0035858079038189688
2025-07-24,12593.05,12789.28,12584.52,12725.3,3880364.0,5786337377.0,1256197800.0,0.0030889753190142507
2025-07-25,12724.44,12724.44,12396.82,12413.88,4191126.0,6140078741.0,1256197800.0,0.003336358334650801
2025-07-28,12396.82,12413.8,12254.34,12274.47,3858632.0,5560966386.0,1256197800.0,0.0030716754956902487
2025-07-29,12282.49,12360.9,12243.33,12277.37,2630408.0,3785848102.0,1256197800.0,0.002093944122494085
2025-07-30,12320.03,12432.31,12260.31,12366.44,3186771.0,4612883040.0,1256197800.0,0.0025368385456494193
2025-07-31,12311.5,12327.45,12098.2,12129.51,5179751.0,7386302758.0,1256197800.0,0.004123356210303823
2025-08-01,12131.22,12166.12,12064.07,12089.67,2963559.0,4200850790.0,1256197800.0,0.002359149968261368
2025-08-04,12072.61,12113.56,12064.07,12106.73,1868795.0,2647105740.0,1256197800.0,0.001487659825546582
2025-08-05,12123.8,12200.07,12090.61,12181.3,2534227.0,3607931488.0,1256197800.0,0.002017378950990043
2025-08-06,12192.05,12192.05,12109.29,12148.37,2369928.0,3372334940.0,1256197800.0,0.0018865882427114584
2025-08-07,12148.37,12180.96,12115.78,12135.32,2800134.0,3988765795.0,1256197800.0,0.0022290550102858006
2025-08-08,12141.29,12170.72,12098.2,12123.54,1865528.0,2651478118.0,1256197800.0,0.001485059120466538
2025-08-11,12145.13,12388.2,12140.86,12328.56,4715907.0,6794034090.0,1256197800.0,0.003754111812646066
2025-08-12,12362.69,12499.8,12251.78,12260.65,4201923.0,6095342036.0,1256197800.0,0.0033449533186573005
2025-08-13,12157.93,12231.98,12115.27,12115.69,6552754.0,9325460101.0,1256197800.0,0.005216339337642527
2025-08-14,12123.29,12349.98,12123.29,12174.9,4812930.0,6897535330.0,1256197800.0,0.00383134726075782
2025-08-15,12166.54,12189.15,12117.14,12133.01,4758165.0,6772436997.0,1256197800.0,0.0037877514194022627
2025-08-18,12174.9,12257.24,12141.71,12187.79,4737798.0,6773477871.0,1256197800.0,0.0037715382083936145
2025-08-19,12230.45,12342.73,12217.65,12268.84,4637186.0,6678541001.0,1256197800.0,0.0036914457261428097
2025-08-20,12268.84,12395.11,12200.76,12371.22,4580466.0,6623095725.0,1256197800.0,0.003646293601214713
2025-08-21,12400.66,12413.8,12317.05,12356.29,3089057.0,4470441662.0,1256197800.0,0.0024590530249296726
2025-08-22,12361.67,12490.67,12326.6,12490.24,4497058.0,6544867368.0,1256197800.0,0.003579896414402254
2025-08-25,12541.95,12763.69,12507.73,12715.31,6532455.0,9676719498.0,1256197800.0,0.005200180258236402
2025-08-26,12715.23,12748.59,12627.26,12640.92,3960213.0,5883917000.0,1256197800.0,0.0031525393532770077
2025-08-27,12643.22,12669.24,12354.16,12354.16,5600609.0,8184169113.0,1256197800.0,0.004458381474637195
2025-08-28,12353.9,12423.27,12275.41,12337.95,3928177.0,5683673273.0,1256197800.0,0.003127037000064799
2025-08-29,12396.82,12649.19,12388.29,12627.18,6225648.0,9159701454.0,1256197800.0,0.004955945632128953
2025-09-01,12645.95,12695.43,12505.17,12593.9,4512338.0,6658918555.0,1252270215.0,0.0036033261399577407
2025-09-02,12615.75,12874.6,12610.12,12723.59,5668837.0,8470012816.0,1252270215.0,0.004526848065295556
2025-09-03,12721.03,12827.68,12507.73,12631.87,4504503.0,6656011145.0,1252270215.0,0.0035970695030864406
2025-09-04,12558.92,12621.21,12460.55,12564.55,4774676.0,7017084750.0,1252270215.0,0.0038128160702121305
2025-09-05,12550.39,12686.65,12490.67,12652.77,3738848.0,5519312163.0,1252270215.0,0.002985655935288695
2025-09-08,12652.77,12852.76,12605.85,12808.31,5138298.0,7682065696.0,1252270215.0,0.004103186307916778
2025-09-09,12840.48,12882.71,12741.68,12840.48,3574277.0,5366650005.0,1252270215.0,0.0028542378132023205
2025-09-10,12854.64,13053.35,12763.69,12985.6,4966331.0,7541460049.0,1252270215.0,0.003965862112275824
2025-09-11,12985.6,13019.82,12870.34,12998.32,3723896.0,5642778456.0,1252270215.0,0.0029737160202281104
2025-09-12,13019.65,13122.2,12887.66,12934.33,3372209.0,5132184935.0,1252270215.0,0.002692876473150006
2025-09-15,12933.22,12946.95,12810.61,12926.65,2582703.0,3901929718.0,1252270215.0,0.0020624166965434055
2025-09-16,12926.65,12976.9,12765.48,12797.65,3271789.0,4928374478.0,1252270215.0,0.0026126861126374392
2025-09-17,12797.73,12885.52,12712.58,12738.09,3033054.0,4534770634.0,1252270215.0,0.0024220443508671968
2025-09-18,12729.56,12779.05,12486.4,12524.45,4972125.0,7347477479.0,1252270215.0,0.00397048890921677
2025-09-19,12524.71,12588.79,12431.03,12524.54,3263662.0,4784528851.0,1252270215.0,0.0026061962992547896
2025-09-22,12499.97,12524.54,12371.31,12399.8,3494708.0,5085057536.0,1252270215.0,0.0027906980124094063
2025-09-23,12375.49,12435.21,12285.9,12349.21,3866300.0,5588384388.0,1252270215.0,0.003087432691194368
2025-09-24,12235.31,12429.07,12235.31,12302.97,3074350.0,4443052872.0,1252270215.0,0.0024550212591297636
2025-09-25,12310.05,12330.35,12251.78,12277.37,3386973.0,4873274661.0,1252270215.0,0.0027046662608676674
2025-09-26,12295.97,12346.57,12183.61,12243.24,4512071.0,6480889597.0,1252270215.0,0.0036031129271888018
2025-09-29,12280.61,12541.77,12243.24,12463.88,5368403.0,7798434586.0,1252270215.0,0.0042869365858070815
2025-09-30,12456.54,12463.03,12285.9,12319.95,3936362.0,5687474876.0,1252270215.0,0.0031433806800236002
2025-10-09,12251.78,12280.61,12115.27,12258.43,5491812.0,7845448947.0,1252270215.0,0.004385484805290206
2025-10-10,12265.43,12285.39,12179.26,12200.58,3600144.0,5157459262.0,1252270215.0,0.00287489389819912
2025-10-13,12078.58,12139.58,12073.63,12108.44,4606880.0,6533147458.0,1252270215.0,0.003678822625354864
2025-10-14,12200.5,12490.67,12200.5,12379.92,6667233.0,9639484605.0,1252270215.0,0.005324116887983317
2025-10-15,12379.58,12482.14,12329.25,12473.61,4278540.0,6233407482.0,1252270215.0,0.0034166268180386293
2025-10-16,12472.92,12669.41,12446.99,12669.07,4573015.0,6749162949.0,1252270215.0,0.003651779739886251
2025-10-17,12653.63,12695.43,12405.61,12413.88,3808589.0,5594724900.0,1252270215.0,0.0030413475896653823
